descricaoEmpresaTI,descritivoSoftware,nomeEnte,codigoUnidade,nomeUnidade,descricaoTipoUnidade,Assunto,ultimoEnvio,ultimoanomes
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,31550,Câmara Municipal de Abdon Batista ,Câmara de Vereadores,Atos de Pessoal,2025-05-07 09:33:10.050,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,31550,Câmara Municipal de Abdon Batista ,Câmara de Vereadores,Concursos,2025-05-07 09:30:33.060,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,31550,Câmara Municipal de Abdon Batista ,Câmara de Vereadores,Contratos,2025-05-30 10:19:16.907,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,31550,Câmara Municipal de Abdon Batista ,Câmara de Vereadores,Execução Orçamentária,2025-05-29 18:03:00.647,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,31550,Câmara Municipal de Abdon Batista ,Câmara de Vereadores,Folha de Pagamento,2025-05-29 15:48:04.633,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,31550,Câmara Municipal de Abdon Batista ,Câmara de Vereadores,Gestão Fiscal,2025-03-17 08:50:48.193,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,31550,Câmara Municipal de Abdon Batista ,Câmara de Vereadores,Licitações,2025-05-30 09:51:01.310,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,31550,Câmara Municipal de Abdon Batista ,Câmara de Vereadores,Plano de Cargos,2025-06-01 16:00:38.670,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,31550,Câmara Municipal de Abdon Batista ,Câmara de Vereadores,Registros Contábeis,2025-05-12 11:02:17.533,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,81116,Controle Interno do Municipio de Abdon Batista,Unidade Central,Gestão Fiscal,2025-04-29 15:47:29.427,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,81116,Controle Interno do Municipio de Abdon Batista,Unidade Central,LOA,2025-05-27 16:50:58.580,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,22640,Fundo Municipal de Assistência Social de Abdon Batista ,Fundo,Convênios,2025-03-18 15:27:40.637,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,22640,Fundo Municipal de Assistência Social de Abdon Batista ,Fundo,Execução Orçamentária,2025-06-03 15:31:38.270,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,22640,Fundo Municipal de Assistência Social de Abdon Batista ,Fundo,Licitações,2025-03-11 10:09:03.127,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,22640,Fundo Municipal de Assistência Social de Abdon Batista ,Fundo,Registros Contábeis,2025-06-03 09:52:44.580,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,15334,Fundo Municipal de Saúde de Abdon Batista ,Fundo,Contratos,2025-05-20 09:21:25.477,202505
